T(C),b(CaO),b(SiO2),b(H2O),Vol(aq),pH,nCa(aq),nCa(s),nSi(aq),nSi(s_reac),nPortlandite,nAmor-Sl,mCSHQ,nCa(CSHQ),nSi(CSHQ),nH2O(CSHQ),C/S(CSHQ),nGelPW(CSH)
25.0,1.57868,0.6700856,6.105284,0.06661262,12.47261,0.001350139,1.57733,2.05942e-06,0.6700835,0.4870902,0.0,0.1361424,1.09024,0.6700835,1.928535,1.627021,0.8247758
25.0,1.606526,0.5906543,3.269948,0.01669685,12.47261,0.0003384199,1.606188,5.162062e-07,0.5906538,0.6451818,0.0,0.1200045,0.9610058,0.5906538,1.699932,1.62702,0.7270092
25.0,0.5683907,0.233129,7.134854,0.1133262,12.47261,0.002296956,0.5660937,3.503685e-06,0.2331255,0.1867938,0.0,0.04736466,0.3793,0.2331255,0.6709473,1.627021,0.2869437
25.0,1.515736,0.2488157,4.692845,0.05175835,12.47261,0.001049097,1.514687,1.600184e-06,0.2488141,1.109861,0.0,0.05055215,0.4048256,0.2488141,0.7160999,1.627021,0.3062541
25.0,1.356222,0.5499502,7.384676,0.09645112,12.47261,0.001954921,1.354267,2.98192e-06,0.5499472,0.4594917,0.0,0.1117341,0.8947754,0.5499472,1.582777,1.627021,0.6769054
25.0,0.8702411,0.3896534,3.668227,0.04172909,12.47261,0.0008457864,0.8693953,1.290109e-06,0.3896521,0.2354233,0.0,0.07916653,0.633972,0.3896521,1.121439,1.627021,0.4796053
25.0,1.02582,0.2542702,6.133355,0.08649953,12.47261,0.001753208,1.024067,2.674211e-06,0.2542675,0.6103683,0.0,0.05166013,0.4136985,0.2542675,0.7317951,1.62702,0.3129665
25.0,1.653635,0.6744271,3.68033,0.02136495,12.47261,0.0004330354,1.653202,6.605265e-07,0.6744264,0.5558963,0.0,0.1370248,1.097306,0.6744264,1.941034,1.627021,0.8301212
25.0,1.084828,0.3433393,5.078428,0.06436889,12.47261,0.001304661,1.083523,1.989997e-06,0.3433373,0.5249065,0.0,0.06975665,0.5586169,0.3433373,0.9881426,1.627021,0.4225985
25.0,1.449576,0.2272561,4.126808,0.04321747,12.47261,0.0008759463,1.4487,1.336125e-06,0.2272548,1.078952,0.0,0.04617188,0.3697482,0.2272548,0.654051,1.62702,0.2797177
25.0,1.766165,0.2496884,4.292723,0.03998937,12.47261,0.0008105231,1.765354,1.236323e-06,0.2496872,1.359108,0.0,0.05072953,0.4062462,0.2496872,0.7186126,1.627021,0.3073287
